Name,Discipline,COSPAR ID,Launch Mass,Onboard Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Period,Inclination,Longitude,Eccentricity
SROSS-1,		Experimental,,150 kg (330 lb)[32],90 W[32],24 March 1987[32],ASLV-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,
IRS-1A,	Earth Sciences[33],1988-021A,"975 kg (2,150 lb)[34]",600 W[34],"17 March 1988, 12:42:00 IST[35]", Vostok," Baikonur Cosmodrome, Kazakhstan",902.3 km (560.7 mi)[36],922.1 km (573.0 mi)[36],103.1 mins[35],99.3[36],,0.00371[35]
SROSS-2,"		Astronomy
		Space Physics",,150 kg (330 lb)[37],90 W[37],13 July 1988[37],ASLV-D2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,
INSAT-1C,"	Communications
		Earth Sciences[38]",1988-063A,"1,152 kg (2,540 lb)[38]",,"22 July 1988, 4:42:00 IST[39]",Ariane-3," Centre Spatial Guyanais, Kourou","35,768.8 km (22,225.7 mi)[40]","35,821.5 km (22,258.4 mi)[40]",1436.2 mins[40],14.9[39],95.03 E[41],0.00035[39]
INSAT-1D,"	Communications
		Earth Sciences[42]",1990-051A,"1,190 kg (2,620 lb)[43]",1000 W[43],"12 June 1990, 11:22:00 IST[44]",Delta 4925," Air Force Eastern Test Range, Florida","35,729.2 km (22,201.1 mi)[46]","35,974 km (22,353 mi)[46]",1435.9 mins[46],14.3[46],71.66 E[46],0.00245[44]
IRS-1B,	Earth Sciences[47],1991-061A,"975 kg (2,150 lb)[47]",600 W[48],"29 August 1991, 12:18:00 IST[49]", Vostok," Baikonur Cosmodrome, Kazakhstan",892.6 km (554.6 mi)[50],928 km (577 mi)[50],103.1 mins[50],99[50],,0.00385[49]
"INSAT-2DT
(Formerly ARABSAT-1C)
(INSAT-2R)[51]",	Communications[52],1992-010B,"1,310 kg (2,890 lb)[53]",1400 W[52],"27 February 1992, 5:28:10 IST[54]",Ariane-44L H10[43]," Centre Spatial Guyanais, Kourou","36,122.8 km (22,445.7 mi)[51]","36,365.4 km (22,596.4 mi)[51]",1459.2 mins[51],11.6[51],21.41 W[51],0.00385[49]
SROSS-C (SROSS-3),"	Astronomy
		Earth Sciences
		Space Physics[55]",1992-028A,106.1 kg (234 lb)[56],45 W[56],"20 May 1992, 8:30:00 IST[57]",ASLV-D3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",255 km (158 mi)[57],429 km (267 mi)[57],91 mins[57],46.03[57],,0.01295[57]
INSAT-2A,"	Communications
		Earth Sciences[58]",1992-041A,"1,906 kg (4,202 lb)[59]",~ 1000 W[59],"10 July 1992, 4:12:19 IST[60]",Ariane-44L H10," Centre Spatial Guyanais, Kourou","35,783.1 km (22,234.6 mi)[61]","35,846.9 km (22,274.2 mi)[61]",1437.2 mins[61],14.5[61],16.18 E[61],0.00381[60]
INSAT-2B,"	Communications
		Earth Sciences[62]",1993-048B,"1,931 kg (4,257 lb)[62]",~ 1000 W[63],"23 July 1993, 4:29:00 IST[64]",Ariane-44L H10+," Centre Spatial Guyanais, Kourou","35,812.9 km (22,253.1 mi)[65]","35,941.2 km (22,332.8 mi)[65]",1440.4 mins[65],13[65],156.74 W[65],
